id,ürün,tahmin fiyat,ürün fiyatı,1_fiyat,2_fiyat,3_fiyat
31522,tavuk,45.123142,45.03,44.05,42.45,40.01
31523,hindi,43.53369,43.47,42.27,40.15,38.17
31524,Bakla-kuru,27.969725,28.05,26.87,25.82,24.85
31525,Bakla-taze,58.997982,58.23,54.8,52.99,50.28
31526,Bamya,20.660557,20.67,19.54,18.86,18.03
31527,Barbunya-kuru,27.639736,27.47,26.83,25.21,24.04
31528,Bezelye-taze,53.850918,52.96,50.54,47.7,43.82
31529,Biber-yeşil,45.56275,45.15,44.01,41.76,39.0
31530,Brüksel laha.,98.131485,95.65,91.99,87.33,82.02
31531,Domates,14.678514,14.69,14.26,13.65,13.2
31532,Enginar,53.983337,53.89,51.1,48.01,45.05
31533,Fasulye-kuru,39.271908,39.09,38.27,36.34,34.4
31534,Fasulye-taze,37.086895,36.86,35.22,33.53,32.04
31535,Havuç,34.233006,34.28,33.4,31.85,30.05
31536,Salatalık,17.208292,17.3,16.24,15.17,14.59
31537,Ispanak,55.204136,54.32,52.31,48.62,45.68
31538,Kabak,39.28846,38.89,37.47,35.26,33.66
31539,Karnabahar,34.181515,33.99,33.19,31.57,30.17
31540,Kereviz-baş,27.452826,27.4,26.49,25.22,24.23
31541,Kırmızı-pancar,27.247793,27.26,26.12,24.68,23.87
31542,Lahana,33.111217,32.9,31.73,30.13,28.47
31543,Mantar,60.40684,60.06,57.59,55.36,53.03
31544,Marul,29.942194,29.8,28.5,26.96,25.64
31545,Mercimek-kuru,23.143389,23.2,22.05,21.3,20.31
31546,Nohut,20.60538,20.63,20.11,19.44,18.46
31547,Pancar,28.429592,28.29,27.25,26.12,24.56
31548,Patates,12.6954565,12.69,12.26,11.63,11.08
31549,Patlıcan,37.339077,37.37,35.91,34.1,32.71
31550,Pazı,8.869146,8.88,8.62,8.19,7.82
31551,Pırasa,14.351409,14.34,13.77,13.27,12.57
31552,Semizotu,11.043457,10.98,10.72,10.25,9.89
31553,Buğday ekmeği,3.2857642,3.37,3.24,3.09,2.9
31554,Bulgur,6.8526974,6.94,6.57,6.1,5.81
31555,Erişte,13.197021,13.25,12.66,12.11,11.42
31556,Makarna,6.7729487,6.81,6.52,6.13,5.84
31557,Mısır,7.25558,7.25,6.97,6.8,6.58
31558,Mısır unu,49.371075,49.67,47.2,46.17,44.38
31559,Nişasta,23.25664,23.25,22.18,21.14,20.53
31560,Pilav,17.360504,17.4,16.62,15.83,15.08
31561,Pirinç unu,31.03606,30.99,29.84,28.03,26.51
31562,Şehriye,29.83768,29.77,28.76,26.74,25.01
31563,Tarhana,14.392721,14.39,13.77,13.14,12.46
31564,Yulaf unu,51.078663,51.73,48.57,45.53,43.23
31565,yumurta,33.502575,33.37,32.13,30.59,29.22
31566,beyaz peynir,62.26305,62.25,59.59,56.1,53.42
31567,Kaşar peyniri,61.838684,61.05,58.94,55.83,52.41
31568,krema,32.401817,32.2,31.32,29.46,27.99
31569,yoğurt,53.23658,53.05,50.85,48.98,46.79
31570,sucuk,64.137,64.57,61.72,57.92,55.46
31571,salam,47.264633,47.62,45.84,43.24,41.14
31572,sosis,51.757763,51.57,49.11,46.59,44.44
31573,tam buğday ekmek,18.5882,18.73,17.49,16.67,15.79
31574,kaymak,70.92628,70.95,67.26,63.63,61.34
31575,bal,107.85681,108.4,103.31,96.51,92.35
31576,tereyağ,73.09458,71.77,69.27,65.68,62.97
31577,Armut,16.168343,16.13,15.64,14.85,13.78
31578,Çilek,23.12683,23.13,22.35,20.98,19.9
31579,Elma,27.134043,27.04,26.1,24.61,23.5
31580,Erik türleri,30.207016,30.15,29.07,27.24,25.65
31581,İncir,17.510002,17.51,16.58,15.7,14.86
31582,Karadut,21.588737,21.64,20.66,19.64,18.85
31583,Karpuz,23.097586,23.19,22.32,21.28,20.32
31584,Kavun,30.698332,30.64,29.36,28.21,26.99
31585,Kayısı,18.550322,18.52,17.98,17.34,16.23
31586,Kiraz,21.97132,22.0,21.18,20.46,19.62
31587,Limon,13.479329,13.42,13.02,12.35,11.53
31588,Mandalina,12.624757,12.61,12.19,11.67,11.06
31589,Muz,41.538414,41.09,39.49,36.87,34.74
31590,Nar,35.113403,35.13,34.0,32.3,30.93
31591,Portakal,17.132627,17.12,16.33,15.51,14.66
31592,Şeftali,21.535265,21.52,20.58,19.44,18.26
31593,Üzüm,20.893276,20.74,20.01,18.9,18.19
31594,Vişne,19.669,19.6,18.76,17.79,16.94
31595,fındık,63.182228,62.9,60.39,57.9,55.05
31596,fıstık,67.47814,67.98,64.43,61.45,58.15
31597,kaju,64.965294,65.18,62.46,58.64,56.04
31598,badem,66.27265,66.02,62.68,59.71,57.02
31599,ceviz,78.37359,76.49,74.27,69.78,65.37
31600,kıyma,129.3158,134.47,129.67,122.4,117.36
31601,tavuk,51.108315,51.3,49.83,48.05,45.16
31602,hindi,44.878754,44.83,44.08,41.97,40.49
31603,Bakla-kuru,27.206345,27.17,26.12,25.29,24.65
31604,Bakla-taze,56.18247,56.33,54.19,51.88,49.76
31605,Bamya,20.71116,20.82,19.63,18.6,17.47
31606,Barbunya-kuru,23.34791,23.47,22.81,21.99,21.1
31607,Bezelye-taze,51.90049,52.12,50.03,47.61,45.2
31608,Biber-yeşil,50.728592,50.73,49.17,47.0,45.01
31609,Brüksel laha.,93.36056,92.71,87.83,83.59,78.49
31610,Domates,17.10594,17.14,16.52,15.76,15.2
31611,Enginar,43.092575,43.38,42.56,41.57,39.4
31612,Fasulye-kuru,41.23799,40.92,39.04,36.35,34.94
31613,Fasulye-taze,41.21032,41.57,40.13,38.34,36.35
31614,Havuç,34.147522,33.91,32.56,30.83,29.37
31615,Salatalık,15.63538,15.48,15.19,14.32,13.85
31616,Ispanak,50.62191,51.07,48.6,46.07,43.69
31617,Kabak,31.387848,31.4,30.27,28.94,27.65
31618,Karnabahar,34.52027,34.43,32.76,31.05,29.73
31619,Kereviz-baş,27.426937,27.54,25.99,24.69,23.52
31620,Kırmızı-pancar,25.35932,25.3,24.17,22.57,21.67
31621,Lahana,31.597734,31.76,30.25,28.85,27.21
31622,Mantar,49.45844,49.05,47.56,45.0,43.49
31623,Marul,26.379068,26.36,25.36,23.72,22.42
31624,Mercimek-kuru,18.395002,18.38,17.71,16.91,16.47
31625,Nohut,18.842777,18.77,17.93,16.87,16.12
31626,Pancar,31.63901,31.64,30.56,28.77,27.24
31627,Patates,14.873617,14.89,14.08,13.21,12.64
31628,Patlıcan,33.355602,33.34,32.34,30.83,29.17
31629,Pazı,8.839455,8.92,8.45,8.07,7.71
31630,Pırasa,13.379174,13.44,12.78,12.16,11.5
31631,Semizotu,9.773693,9.74,9.42,8.99,8.55
31632,Buğday ekmeği,3.183137,3.27,3.09,2.9,2.71
31633,Bulgur,5.6081896,5.62,5.41,5.15,4.85
31634,Erişte,12.945358,12.93,12.43,11.83,11.26
31635,Makarna,6.282985,6.25,6.09,5.83,5.45
31636,Mısır,9.814982,9.74,9.55,9.01,8.52
31637,Mısır unu,52.873283,52.93,50.62,48.55,46.48
31638,Nişasta,22.986483,22.94,22.09,20.77,19.65
31639,Pilav,17.692722,17.62,17.02,16.14,15.39
31640,Pirinç unu,30.011274,30.01,28.98,27.88,27.11
31641,Şehriye,26.882685,26.72,25.47,23.96,22.96
31642,Tarhana,12.492103,12.54,11.96,11.33,10.95
31643,Yulaf unu,51.211224,51.27,49.4,46.55,44.32
31644,yumurta,26.752872,26.62,25.47,24.16,23.03
31645,beyaz peynir,60.840584,60.7,57.78,53.93,51.39
31646,Kaşar peyniri,65.43695,65.91,63.55,61.28,58.1
31647,krema,33.01839,33.19,31.43,30.25,28.7
31648,yoğurt,48.937504,49.11,46.82,44.78,42.87
31649,sucuk,60.788338,60.96,58.58,55.42,51.97
31650,salam,47.823215,47.61,46.2,44.14,42.08
31651,sosis,46.278,45.67,43.9,41.42,39.42
31652,tam buğday ekmek,18.640415,18.6,17.87,16.7,16.0
31653,kaymak,67.50731,67.54,64.61,61.57,57.8
31654,bal,101.3196,107.04,102.88,98.01,94.76
31655,tereyağ,76.93405,78.02,75.94,73.12,68.83
31656,Armut,17.555748,17.6,16.87,16.07,15.45
31657,Çilek,22.63496,22.65,21.77,20.98,19.98
31658,Elma,26.811726,26.74,25.82,24.77,23.62
31659,Erik türleri,31.87868,31.96,30.68,29.0,27.72
31660,İncir,14.510046,14.53,13.81,13.23,12.87
31661,Karadut,21.950525,21.92,21.01,19.92,19.02
31662,Karpuz,22.526398,22.63,21.88,21.08,20.08
31663,Kavun,29.457754,29.47,28.48,26.61,25.27
31664,Kayısı,17.479446,17.39,16.97,15.94,15.11
31665,Kiraz,20.108398,20.03,19.21,18.38,17.61
31666,Limon,12.742445,12.75,12.31,11.78,11.32
31667,Mandalina,12.701084,12.79,12.08,11.47,10.93
31668,Muz,35.92016,35.72,34.05,32.56,31.31
31669,Nar,31.443707,31.46,30.22,28.59,27.32
31670,Portakal,17.400665,17.36,16.83,16.13,15.46
31671,Şeftali,21.333538,21.24,20.36,19.09,18.25
31672,Üzüm,20.50987,20.55,19.61,18.65,17.41
31673,Vişne,15.884351,15.85,15.13,14.46,13.64
31674,fındık,61.329006,61.23,59.56,56.21,54.24
31675,fıstık,70.04452,70.12,67.44,63.72,60.75
31676,kaju,60.685635,61.19,59.72,57.13,54.87
31677,badem,59.15894,59.12,56.05,53.59,51.21
31678,ceviz,85.34838,82.0,78.6,74.97,71.19
31679,kıyma,127.97868,138.85,133.39,127.57,120.87
31680,tavuk,47.760838,47.65,45.33,42.53,40.17
31681,hindi,47.268135,47.29,45.51,43.33,40.54
31682,Bakla-kuru,28.131239,28.01,27.2,26.14,24.58
31683,Bakla-taze,53.922363,53.64,51.13,47.8,46.0
31684,Bamya,17.993496,18.03,17.19,16.67,15.82
31685,Barbunya-kuru,26.47103,26.48,25.35,24.07,22.72
31686,Bezelye-taze,52.923866,52.86,50.74,48.55,46.12
31687,Biber-yeşil,46.677563,46.35,44.26,41.53,39.39
31688,Brüksel laha.,91.177635,91.6,87.61,84.76,81.39
31689,Domates,18.022728,17.91,17.3,16.12,15.27
31690,Enginar,45.991116,46.06,44.14,42.15,39.77
31691,Fasulye-kuru,37.020603,37.01,35.37,33.86,32.55
31692,Fasulye-taze,40.52262,40.3,38.18,36.82,34.91
31693,Havuç,31.721891,31.53,30.41,28.56,27.12
31694,Salatalık,17.769243,17.68,17.02,16.14,15.46
31695,Ispanak,50.592213,50.88,48.15,45.86,43.45
31696,Kabak,34.270325,33.84,33.03,31.01,29.41
31697,Karnabahar,32.681072,32.61,31.36,30.05,28.48
31698,Kereviz-baş,24.463026,24.44,23.72,22.81,22.25
31699,Kırmızı-pancar,26.564594,26.47,25.24,24.2,23.3
31700,Lahana,32.93834,33.13,31.56,30.13,29.46
31701,Mantar,60.855022,60.95,58.36,55.23,52.26
31702,Marul,27.602169,27.41,26.35,25.19,24.15
31703,Mercimek-kuru,21.414253,21.46,20.86,19.94,18.81
31704,Nohut,18.683535,18.59,17.93,17.12,16.17
31705,Pancar,29.271557,29.02,27.95,25.78,24.85
31706,Patates,12.32854,12.31,11.85,11.19,10.65
31707,Patlıcan,35.877094,35.83,34.31,32.51,30.43
31708,Pazı,8.714808,8.77,8.35,7.95,7.48
31709,Pırasa,12.265619,12.32,11.69,11.13,10.5
31710,Semizotu,11.330998,11.28,10.88,10.43,9.98
31711,Buğday ekmeği,3.5824907,3.63,3.46,3.26,3.14
31712,Bulgur,6.439582,6.44,6.15,5.83,5.49
31713,Erişte,15.065969,15.1,14.38,13.78,13.06
31714,Makarna,6.134536,6.16,5.86,5.64,5.43
31715,Mısır,8.318422,8.29,8.09,7.67,7.23
31716,Mısır unu,51.201195,51.32,49.41,46.64,44.14
31717,Nişasta,22.914757,22.86,21.96,21.05,19.7
31718,Pilav,14.33858,14.37,13.93,13.3,12.83
31719,Pirinç unu,29.261044,29.2,28.27,27.03,25.65
31720,Şehriye,30.59785,30.71,29.56,28.73,27.61
31721,Tarhana,13.2280855,13.34,12.65,12.01,11.32
31722,Yulaf unu,55.90762,55.73,53.8,51.26,49.02
31723,yumurta,28.593021,28.57,27.41,26.11,24.66
31724,beyaz peynir,53.134087,52.9,51.44,47.98,46.05
31725,Kaşar peyniri,67.3437,66.78,64.15,59.73,56.44
31726,krema,36.33082,36.1,34.53,32.54,30.99
31727,yoğurt,44.58244,44.74,43.52,41.81,39.73
31728,sucuk,60.89889,60.89,58.49,54.7,52.58
31729,salam,43.35796,43.16,42.03,39.65,38.12
31730,sosis,55.69323,55.44,52.63,48.76,45.67
31731,tam buğday ekmek,17.449717,17.35,16.65,15.71,14.93
31732,kaymak,67.69614,67.11,64.7,61.2,57.79
31733,bal,98.854805,104.04,99.57,95.14,90.47
31734,tereyağ,69.90733,70.12,67.73,65.15,62.05
31735,Armut,16.825054,16.76,16.2,15.32,14.27
31736,Çilek,23.385136,23.47,22.53,21.59,20.47
31737,Elma,26.09486,25.92,25.2,24.07,22.9
31738,Erik türleri,31.028103,31.02,29.54,27.92,26.54
31739,İncir,18.501602,18.47,17.67,16.82,15.87
31740,Karadut,19.771484,19.78,18.98,18.18,17.01
31741,Karpuz,24.876707,24.95,23.83,22.61,21.28
31742,Kavun,27.622944,27.53,26.57,24.8,23.42
31743,Kayısı,16.445915,16.35,15.59,14.73,14.27
31744,Kiraz,20.922237,20.93,20.26,19.58,18.85
31745,Limon,11.419588,11.45,11.13,10.73,10.28
31746,Mandalina,12.752673,12.67,12.17,11.41,10.89
31747,Muz,34.61585,34.57,33.24,31.73,29.95
31748,Nar,34.295506,34.35,32.86,31.45,30.08
31749,Portakal,18.15603,18.14,17.49,16.69,15.82
31750,Şeftali,20.416393,20.26,19.5,18.53,17.71
31751,Üzüm,25.054646,25.05,23.63,22.35,21.28
31752,Vişne,16.256172,16.2,15.65,14.8,14.29
31753,fındık,56.16705,55.83,53.16,50.36,48.3
31754,fıstık,55.34738,55.1,53.02,50.61,47.82
31755,kaju,63.8709,63.71,61.26,58.52,55.03
31756,badem,64.73484,64.9,62.04,59.87,56.54
31757,ceviz,81.986244,81.95,78.41,73.44,70.56
31758,kıyma,125.993805,134.6,130.29,126.0,118.71
31759,tavuk,45.846195,45.81,44.16,42.69,40.68
31760,hindi,50.216595,49.84,47.73,44.99,42.18
31761,Bakla-kuru,31.458893,31.32,29.68,28.38,26.76
31762,Bakla-taze,50.248734,50.18,48.22,44.54,41.83
31763,Bamya,21.030254,21.01,19.82,18.67,17.66
31764,Barbunya-kuru,25.016844,25.09,24.32,23.21,21.73
31765,Bezelye-taze,52.052254,52.11,49.95,47.65,45.56
31766,Biber-yeşil,52.475876,52.02,50.5,47.94,45.76
31767,Brüksel laha.,98.64516,103.13,97.23,93.31,90.3
31768,Domates,14.624869,14.64,14.25,13.67,13.04
31769,Enginar,48.845337,48.67,46.29,44.12,42.32
31770,Fasulye-kuru,35.688507,35.52,34.27,32.28,31.06
31771,Fasulye-taze,42.05247,41.82,40.31,39.04,36.97
31772,Havuç,29.464956,29.55,28.35,27.05,25.84
31773,Salatalık,17.908785,17.83,17.22,16.24,15.43
31774,Ispanak,51.11937,50.8,49.09,46.25,44.05
31775,Kabak,36.14826,36.09,34.13,32.67,31.14
31776,Karnabahar,38.232525,38.18,36.49,34.85,33.22
31777,Kereviz-baş,21.993782,22.05,21.22,20.44,19.68
31778,Kırmızı-pancar,24.318958,24.34,23.23,22.02,21.18
31779,Lahana,26.367735,26.28,25.21,24.17,23.03
31780,Mantar,53.937275,53.75,50.83,49.15,46.74
31781,Marul,26.582775,26.44,25.83,24.57,23.26
31782,Mercimek-kuru,20.190716,20.1,19.45,18.44,17.56
31783,Nohut,18.029354,18.05,17.01,16.04,15.46
31784,Pancar,27.598593,27.55,26.41,24.9,23.69
31785,Patates,13.545355,13.63,12.97,12.38,11.79
31786,Patlıcan,30.11463,29.98,28.87,27.26,26.1
31787,Pazı,8.201837,8.22,7.86,7.49,7.14
31788,Pırasa,13.398876,13.38,12.84,12.12,11.57
31789,Semizotu,10.976055,10.93,10.49,9.81,9.39
31790,Buğday ekmeği,3.114882,3.12,2.99,2.88,2.72
31791,Bulgur,6.1960807,6.13,5.9,5.53,5.26
31792,Erişte,13.077094,13.03,12.63,11.96,11.44
31793,Makarna,6.875714,6.9,6.66,6.33,6.04
31794,Mısır,8.14589,8.13,7.79,7.42,7.14
31795,Mısır unu,47.79646,47.6,46.48,44.9,42.52
31796,Nişasta,21.104616,21.16,20.41,19.53,18.33
31797,Pilav,16.09556,16.12,15.4,14.96,14.39
31798,Pirinç unu,29.295433,29.29,28.23,27.21,25.63
31799,Şehriye,27.376112,27.38,25.84,24.32,23.25
31800,Tarhana,14.616483,14.64,14.04,13.25,12.46
31801,Yulaf unu,48.48494,48.18,46.3,43.59,41.89
31802,yumurta,36.032185,35.94,34.93,33.26,31.7
31803,beyaz peynir,64.223976,63.87,61.1,58.02,55.37
31804,Kaşar peyniri,73.95607,72.28,69.91,66.36,62.72
31805,krema,34.01223,33.66,32.62,30.63,29.5
31806,yoğurt,53.517223,53.77,51.69,49.08,46.57
31807,sucuk,57.775303,57.82,55.72,53.21,50.44
31808,salam,51.34422,51.22,49.21,46.68,44.13
31809,sosis,45.885986,45.65,44.99,42.93,41.04
31810,tam buğday ekmek,16.45582,16.48,16.03,15.48,14.63
31811,kaymak,53.08311,52.37,50.49,47.37,45.08
31812,bal,98.3724,97.21,93.41,89.39,83.81
31813,tereyağ,70.70573,70.14,67.81,64.39,61.05
31814,Armut,16.579021,16.5,15.92,15.14,14.63
31815,Çilek,20.388824,20.44,19.44,18.57,17.6
31816,Elma,27.127634,27.09,26.14,24.86,23.51
31817,Erik türleri,27.690722,27.65,26.41,25.29,24.56
31818,İncir,15.301111,15.37,14.61,13.95,13.33
31819,Karadut,22.619797,22.58,21.89,20.59,19.7
31820,Karpuz,24.140108,24.11,23.2,21.81,20.9
31821,Kavun,30.218302,30.04,28.83,27.51,26.0
31822,Kayısı,17.799957,17.9,16.85,15.92,15.31
31823,Kiraz,19.813578,19.72,19.15,18.1,17.12
31824,Limon,13.175024,13.13,12.62,11.83,11.32
31825,Mandalina,12.910576,12.85,12.4,11.77,11.38
31826,Muz,36.762825,36.75,35.44,33.57,32.17
31827,Nar,37.163292,37.09,35.83,34.09,32.4
31828,Portakal,14.748136,14.71,14.14,13.29,12.65
31829,Şeftali,22.723202,22.72,21.59,20.41,19.26
31830,Üzüm,20.430012,20.4,19.39,18.54,17.83
31831,Vişne,17.370958,17.42,16.5,15.55,14.78
31832,fındık,58.09365,58.25,56.16,53.67,49.78
31833,fıstık,60.134483,59.41,57.36,53.52,51.75
31834,kaju,58.181046,58.36,56.16,53.39,51.16
31835,badem,55.373886,55.62,53.72,51.26,48.61
31836,ceviz,74.4369,74.16,71.44,69.24,66.54
31837,kıyma,147.27919,144.74,138.6,129.29,123.09
31838,tavuk,42.116787,42.21,40.67,38.67,36.99
31839,hindi,49.48075,49.6,46.93,45.18,42.43
31840,Bakla-kuru,27.460096,27.53,26.13,24.78,23.49
31841,Bakla-taze,52.786953,52.72,51.02,48.28,46.69
31842,Bamya,20.285109,20.33,19.33,18.22,17.32
31843,Barbunya-kuru,24.965212,24.83,24.23,22.91,21.58
31844,Bezelye-taze,47.123104,47.2,45.74,43.45,40.85
31845,Biber-yeşil,55.589382,54.79,52.47,49.58,47.15
31846,Brüksel laha.,105.048355,110.29,105.3,100.16,95.16
31847,Domates,15.213651,15.26,14.58,14.15,13.49
31848,Enginar,47.101257,47.0,45.17,42.99,40.6
31849,Fasulye-kuru,35.72282,35.63,34.3,32.46,30.7
31850,Fasulye-taze,43.74534,43.43,41.07,38.5,36.8
31851,Havuç,32.604336,32.61,31.51,30.01,28.6
31852,Salatalık,20.538776,20.58,19.36,18.49,17.38
31853,Ispanak,55.154026,55.11,52.87,50.08,47.38
31854,Kabak,34.937992,34.65,33.07,31.03,29.69
31855,Karnabahar,39.31219,39.06,38.3,36.36,33.89
31856,Kereviz-baş,24.726297,24.65,23.68,22.46,21.84
31857,Kırmızı-pancar,25.02821,25.01,24.0,22.69,21.4
31858,Lahana,27.401918,27.33,26.48,25.13,24.04
31859,Mantar,53.931534,54.36,52.06,49.64,47.63
31860,Marul,28.434612,28.31,27.21,25.8,24.74
31861,Mercimek-kuru,19.764212,19.76,18.8,17.81,17.11
31862,Nohut,17.32548,17.35,16.62,15.9,15.28
31863,Pancar,26.39053,26.53,25.43,23.99,22.39
31864,Patates,12.522821,12.51,11.99,11.2,10.48
31865,Patlıcan,36.71534,36.28,35.14,33.19,31.55
31866,Pazı,7.8353777,7.86,7.48,7.13,6.73
31867,Pırasa,13.384544,13.37,12.82,12.23,11.37
31868,Semizotu,10.548941,10.55,10.17,9.52,9.05
31869,Buğday ekmeği,3.1103122,3.09,2.98,2.81,2.69
31870,Bulgur,5.780281,5.77,5.57,5.26,5.03
31871,Erişte,13.999227,13.96,13.45,12.95,12.43
31872,Makarna,6.924981,6.9,6.61,6.23,5.93
31873,Mısır,8.187386,8.15,7.84,7.48,7.04
31874,Mısır unu,50.66652,50.82,50.02,48.33,45.42
31875,Nişasta,21.004135,20.87,20.09,18.89,18.03
31876,Pilav,19.609821,19.56,18.85,17.8,17.12
31877,Pirinç unu,31.40336,31.47,29.89,28.09,26.78
31878,Şehriye,27.748554,27.9,27.16,25.96,24.38
31879,Tarhana,12.557185,12.62,12.06,11.29,10.76
31880,Yulaf unu,44.86462,44.6,42.93,40.76,38.88
31881,yumurta,31.678164,31.52,30.4,29.25,27.34
31882,beyaz peynir,68.8674,68.87,66.17,63.01,60.01
31883,Kaşar peyniri,77.82853,78.35,74.27,70.12,65.64
31884,krema,36.17742,36.05,34.84,33.28,31.7
31885,yoğurt,53.660137,54.06,51.71,48.91,46.7
31886,sucuk,74.552124,74.96,71.32,68.08,63.79
31887,salam,48.88818,48.78,47.58,45.32,41.73
31888,sosis,50.142216,49.35,47.32,44.45,42.11
31889,tam buğday ekmek,16.68548,16.62,16.08,15.23,14.51
31890,kaymak,71.07388,69.43,67.2,63.21,60.2
31891,bal,102.928444,100.57,96.05,89.56,85.83
31892,tereyağ,68.03685,68.04,63.95,60.87,58.51
31893,Armut,16.73485,16.64,15.96,14.99,14.48
31894,Çilek,22.750183,22.68,21.94,21.13,20.08
31895,Elma,26.007042,26.16,24.89,23.77,22.57
31896,Erik türleri,28.244423,28.31,26.84,25.45,24.42
31897,İncir,16.144907,16.09,15.5,14.69,13.82
31898,Karadut,25.63934,25.62,24.82,23.46,22.47
31899,Karpuz,26.715971,26.74,25.67,24.12,22.88
31900,Kavun,29.049574,29.06,27.46,26.12,24.69
31901,Kayısı,18.680017,18.6,17.77,16.75,15.94
31902,Kiraz,17.71558,17.74,16.97,16.15,15.55
31903,Limon,13.511453,13.51,12.94,12.15,11.52
31904,Mandalina,12.107777,12.08,11.59,10.9,10.28
31905,Muz,31.988182,32.03,30.61,29.42,27.71
31906,Nar,30.592308,30.53,28.88,27.01,25.97
31907,Portakal,18.671717,18.61,17.91,17.06,16.28
31908,Şeftali,22.957903,22.86,22.17,20.88,19.52
31909,Üzüm,19.944065,19.9,19.1,18.15,17.0
31910,Vişne,16.32856,16.26,15.79,14.89,14.24
31911,fındık,53.44287,53.24,51.53,49.14,47.34
31912,fıstık,69.726776,70.06,66.43,61.43,58.62
31913,kaju,64.470436,64.17,62.12,59.94,57.61
31914,badem,61.624245,61.08,58.43,55.19,52.96
31915,ceviz,85.85583,82.88,78.16,75.17,71.63
31916,kıyma,154.30666,142.56,137.54,129.1,120.39
31917,tavuk,43.127876,43.24,41.5,39.83,37.93
31918,hindi,54.782753,55.2,53.44,50.49,48.79
31919,Bakla-kuru,30.312426,30.02,28.88,26.71,25.3
31920,Bakla-taze,55.412914,54.9,52.97,51.12,48.71
31921,Bamya,21.64626,21.71,21.03,20.24,19.36
31922,Barbunya-kuru,26.511198,26.67,25.44,24.68,23.22
31923,Bezelye-taze,46.861385,46.47,43.85,41.09,39.21
31924,Biber-yeşil,52.517246,52.62,49.72,47.1,45.44
31925,Brüksel laha.,94.16259,94.24,89.78,84.17,80.69
31926,Domates,16.676497,16.69,16.01,15.3,14.62
31927,Enginar,44.132774,44.4,42.68,40.26,38.15
31928,Fasulye-kuru,37.108097,37.03,35.43,33.32,31.68
31929,Fasulye-taze,34.814323,34.88,33.47,32.08,31.07
31930,Havuç,32.125965,32.19,30.71,29.06,27.69
31931,Salatalık,16.02397,15.9,15.5,14.65,13.79
31932,Ispanak,55.449417,55.3,52.73,50.53,47.35
31933,Kabak,31.005795,30.82,29.99,28.64,27.75
31934,Karnabahar,36.952686,36.76,35.87,33.99,31.82
31935,Kereviz-baş,23.492445,23.5,22.47,21.43,20.46
31936,Kırmızı-pancar,28.294281,28.24,26.69,25.3,24.03
31937,Lahana,35.352943,35.33,34.23,32.79,30.98
31938,Mantar,59.41671,59.15,56.27,53.25,50.14
31939,Marul,25.943127,25.91,24.76,23.0,22.01
31940,Mercimek-kuru,21.633966,21.72,20.59,19.58,18.53
31941,Nohut,20.5236,20.46,19.59,18.46,17.39
31942,Pancar,31.447744,31.22,30.12,28.1,26.29
31943,Patates,12.309718,12.29,11.83,11.21,10.75
31944,Patlıcan,34.00618,33.99,32.1,30.87,29.21
31945,Pazı,8.444803,8.44,8.15,7.71,7.48
31946,Pırasa,12.546794,12.53,12.0,11.42,10.87
31947,Semizotu,10.023644,10.03,9.63,9.04,8.61
31948,Buğday ekmeği,3.1568587,3.25,3.13,2.93,2.79
31949,Bulgur,6.2041144,6.22,5.98,5.67,5.5
31950,Erişte,13.88288,13.76,13.35,12.65,12.19
31951,Makarna,5.430153,5.45,5.24,5.03,4.87
31952,Mısır,8.632607,8.65,8.28,7.92,7.63
31953,Mısır unu,51.13089,50.89,48.94,46.75,44.4
31954,Nişasta,21.400438,21.46,20.23,19.09,18.16
31955,Pilav,17.302546,17.2,16.64,15.82,15.07
31956,Pirinç unu,32.25487,32.22,31.48,30.35,28.63
31957,Şehriye,27.273317,27.25,25.85,24.74,23.8
31958,Tarhana,15.379845,15.18,14.74,13.87,13.14
31959,Yulaf unu,49.5719,49.88,48.49,46.2,44.33
31960,yumurta,32.425648,32.51,30.5,29.26,27.86
31961,beyaz peynir,77.73231,76.41,73.99,70.41,65.23
31962,Kaşar peyniri,65.513885,65.66,62.28,58.54,56.1
31963,krema,33.28127,33.49,32.03,30.48,28.68
31964,yoğurt,51.28542,51.54,49.75,47.95,46.24
31965,sucuk,58.443245,58.57,56.07,53.65,50.7
31966,salam,49.727787,49.51,47.41,45.6,43.28
31967,sosis,57.658813,57.54,55.12,52.94,50.13
31968,tam buğday ekmek,18.463999,18.49,17.56,16.84,15.84
31969,kaymak,63.90389,63.48,61.28,58.62,55.9
31970,bal,98.357315,106.19,102.55,98.7,93.53
31971,tereyağ,74.06245,74.36,71.73,69.81,66.84
31972,Armut,17.734184,17.7,16.92,15.95,15.18
31973,Çilek,20.22969,20.1,19.41,18.36,17.61
31974,Elma,24.56388,24.44,23.39,22.36,21.62
31975,Erik türleri,31.084866,31.11,29.38,27.68,26.49
31976,İncir,16.509933,16.54,15.76,15.16,14.31
31977,Karadut,20.579617,20.49,19.56,18.23,17.18
31978,Karpuz,28.631456,28.58,27.55,26.59,25.22
31979,Kavun,31.151447,31.09,29.38,27.75,26.35
31980,Kayısı,16.77309,16.76,16.07,15.36,14.58
31981,Kiraz,23.342161,23.26,22.36,21.43,20.32
31982,Limon,13.146996,13.03,12.6,11.8,11.33
31983,Mandalina,13.3377075,13.4,12.77,12.04,11.35
31984,Muz,35.887497,35.72,34.12,32.06,29.96
31985,Nar,33.208458,33.26,31.8,30.76,29.65
31986,Portakal,18.044449,17.93,17.24,16.23,15.27
